Sprint                                            , Ticket ID, Title                                          , Priority, Estimate, Acceptance Criteria
Sprint 4: Communication Layer Implementation      , S4-008   , Add Sampled/Whitelisted MQTT Logging           , P1      , M       , "Only approved low-rate topics are stored."
Sprint 4: Communication Layer Implementation      , S4-009   , Add Integration Tests For Owner/Viewer Sessions, P0      , M       , "Owner control and viewer observe-only behavior is covered end-to-end."
Sprint 5: Page Stabilization And Feature Alignment, S5-001   , Align Device Page With New Permissions         , P0      , M       , "Device page reflects owner/viewer restrictions correctly."
Sprint 5: Page Stabilization And Feature Alignment, S5-002   , Add Global MQTT Settings UI                    , P0      , M       , "One shared broker config exists for the whole app."
Sprint 5: Page Stabilization And Feature Alignment, S5-003   , Align Dashboard With Shared MQTT Model         , P0      , M       , "Dashboard uses the global MQTT client/settings correctly."
Sprint 5: Page Stabilization And Feature Alignment, S5-004   , Stabilize ML Page                              , P1      , M       , "Priority ML bugs are fixed and training/preview workflows are stable."
Sprint 5: Page Stabilization And Feature Alignment, S5-005   , Stabilize Vision Page                          , P1      , M       , "Priority Vision node/wire/preview bugs are fixed."
Sprint 5: Page Stabilization And Feature Alignment, S5-006   , Add Unauthorized/Error States To Pages         , P1      , S       , "Restricted or broken flows show clear UI states instead of failing silently."
Sprint 5: Page Stabilization And Feature Alignment, S5-007   , Review Service Worker Cache Strategy           , P1      , S       , "Dev/deploy cache invalidation behavior is improved and documented."
Sprint 5: Page Stabilization And Feature Alignment, S5-008   , Fix High-Priority Blockly Warnings/Conflicts   , P2      , S       , "Duplicate block warnings and other blocking console issues are addressed."
Sprint 6: Python-To-Blocks DSL                    , S6-001   , Define DSL Spec                                , P0      , M       , "Annotation syntax and supported metadata are finalized."
Sprint 6: Python-To-Blocks DSL                    , S6-002   , Build Metadata Parser                          , P0      , M       , "# @block { ... } metadata can be parsed reliably."
Sprint 6: Python-To-Blocks DSL                    , S6-003   , Build Intermediate Schema                      , P0      , M       , "Parsed Python annotations map into a stable internal representation."
Sprint 6: Python-To-Blocks DSL                    , S6-004   , Generate Blockly Definitions                   , P0      , M       , "DSL can generate block definitions/toolbox metadata."
Sprint 6: Python-To-Blocks DSL                    , S6-005   , Generate Python Codegen Bindings               , P1      , M       , "DSL can connect generated blocks to Python code output."
Sprint 6: Python-To-Blocks DSL                    , S6-006   , Support Instantiable Classes                   , P1      , M       , "Annotated classes like Pin can become usable block families."
Sprint 6: Python-To-Blocks DSL                    , S6-007   , Add Validation/Error Reporting                 , P1      , S       , "Invalid DSL metadata produces understandable errors."
Sprint 6: Python-To-Blocks DSL                    , S6-008   , Convert One Real Library End-To-End            , P0      , M       , "One existing library is generated from DSL and works in the editor."
Sprint 7: Hardening And Scale Prep                , S7-001   , Add MQTT/Signaling Metrics                     , P0      , M       , "Connection counts and session counts are observable."
Sprint 7: Hardening And Scale Prep                , S7-002   , Add Device Access Audit Logs                   , P0      , S       , "Device claim/share/control events are logged."
Sprint 7: Hardening And Scale Prep                , S7-003   , Add Auth Security Metrics                      , P1      , S       , "Auth failures and permission denials are visible."
Sprint 7: Hardening And Scale Prep                , S7-004   , Write Deployment Runbook                       , P1      , M       , "App, broker, and signaling deployment steps are documented."
Sprint 7: Hardening And Scale Prep                , S7-005   , Document Secret Rotation                       , P1      , S       , "Secret handling and rotation steps are documented."
Sprint 7: Hardening And Scale Prep                , S7-006   , Document Backup/Restore                        , P1      , S       , "PostgreSQL backup and restore procedure is documented."
Sprint 7: Hardening And Scale Prep                , S7-007   , Define Capacity Thresholds                     , P1      , S       , "Clear triggers exist for VM upgrade and architecture changes."
Sprint 7: Hardening And Scale Prep                , S7-008   , Define TURN Adoption Criteria                  , P2      , S       , "You know when TURN becomes necessary and how to add it later."
